book_author,book_href,book_publish_date,book_publisher,book_rating_counting,book_rating_nums,book_src,book_title
[以色列]尤瓦尔·赫拉利,https://book.douban.com/subject/25985021/,2014-11-1,中信出版社,23814人评价,9.2,https://img3.doubanio.com/lpic/s27814883.jpg,人类简史
[美] 阿图·葛文德（Atul Gawande）,https://book.douban.com/subject/26576861/,2015-7-31,浙江人民出版社,8094人评价,9.0,https://img3.doubanio.com/lpic/s28355811.jpg,最好的告别
(日)三浦紫苑,https://book.douban.com/subject/26210487/,2015-1-1,广西师范大学出版社,2219人评价,9.1,https://img1.doubanio.com/lpic/s27914268.jpg,强风吹拂
[美] 安迪·威尔,https://book.douban.com/subject/26586492/,2015-10-1,译林出版社,7982人评价,8.9,https://img3.doubanio.com/lpic/s28315660.jpg,火星救援
吴军,https://book.douban.com/subject/25902942/,2014-6-25,人民邮电出版社,2189人评价,9.0,https://img1.doubanio.com/lpic/s27307487.jpg,文明之光（第一册）
朱熹,https://book.douban.com/subject/1139980/,1983-10,中華書局,1820人评价,9.3,https://img3.doubanio.com/lpic/s2194972.jpg,四書章句集注
奥得弗雷德·普鲁士勒,https://book.douban.com/subject/1192706/,2004-10-01,二十一世纪出版社,1237人评价,9.1,https://img3.doubanio.com/lpic/s1694523.jpg,大盗贼
李碧华,https://book.douban.com/subject/1088711/,1999-1,人民文学出版社,6492人评价,9.1,https://img5.doubanio.com/lpic/s24964086.jpg,霸王别姬
Martin Fowler,https://book.douban.com/subject/1229923/,2003-8-1,中国电力出版社,1934人评价,9.0,https://img3.doubanio.com/lpic/s1669771.jpg,重构
,https://book.douban.com/subject/1849409/,2006-8-1,吉林文史出版社,1590人评价,9.1,https://img3.doubanio.com/lpic/s2158672.jpg,易经
Jon Bentley,https://book.douban.com/subject/3227098/,2008-10,人民邮电出版社,1748人评价,9.2,https://img3.doubanio.com/lpic/s4687321.jpg,编程珠玑
武玉成，顾丛龙 注,https://book.douban.com/subject/1006967/,2004-08,人民文学出版社,2265人评价,9.3,https://img3.doubanio.com/lpic/s1131431.jpg,宋词三百首
宋韬,https://book.douban.com/subject/1107841/,2003-1-1,山西古籍,1281人评价,9.0,https://img3.doubanio.com/lpic/s9791812.jpg,战国策
Robert C. Martin,https://book.douban.com/subject/1140457/,2003-09-01,清华大学出版社,1195人评价,9.1,https://img3.doubanio.com/lpic/s1671095.jpg,敏捷软件开发
汤显祖,https://book.douban.com/subject/1073708/,1963-4-1,人民文学出版社,5683人评价,9.0,https://img3.doubanio.com/lpic/s1075414.jpg,牡丹亭
夏承焘 / 等,https://book.douban.com/subject/1132550/,2003-8-1,上海辞书出版社,1551人评价,9.4,https://img3.doubanio.com/lpic/s1367641.jpg,宋词鉴赏辞典
[瑞典] 阿斯特丽德·林格伦,https://book.douban.com/subject/1004088/,1999-3,中国少年儿童出版社,5347人评价,9.0,https://img1.doubanio.com/lpic/s1290828.jpg,长袜子皮皮
陈鼓应,https://book.douban.com/subject/1033163/,2009-2,中华书局,1563人评价,9.2,https://img1.doubanio.com/lpic/s4011419.jpg,老子注译及评介
彭一刚,https://book.douban.com/subject/1088805/,1986-12-1,建筑工业出版社,1473人评价,9.1,https://img3.doubanio.com/lpic/s1301823.jpg,中国古典园林分析
芦原义信,https://book.douban.com/subject/1507170/,1985-3,中国建筑工业出版社,1391人评价,9.0,https://img3.doubanio.com/lpic/s2146414.jpg,外部空间设计
老舍,https://book.douban.com/subject/1073744/,1999-06,人民文学出版社,4070人评价,9.0,https://img3.doubanio.com/lpic/s1069102.jpg,四世同堂（上下）
[英] 莎士比亚,https://book.douban.com/subject/1089049/,1998-5,译林出版社,1359人评价,9.3,https://img3.doubanio.com/lpic/s1540102.jpg,莎士比亚全集（全8册）
[美] 菲利普·津巴多 / [美] 罗伯特·约翰逊 / [美] 安·韦伯,https://book.douban.com/subject/3143537/,2008-7,中国人民大学出版社,1297人评价,9.3,https://img1.doubanio.com/lpic/s3419538.jpg,津巴多普通心理学
弗里曼,https://book.douban.com/subject/2243615/,2007-9,中国电力出版社,2269人评价,9.2,https://img5.doubanio.com/lpic/s2686916.jpg,Head First 设计模式（中文版）
金庸,https://book.douban.com/subject/1255625/,1994-5,三联书店,54136人评价,9.1,https://img1.doubanio.com/lpic/s23632058.jpg,天龙八部
吴楚材 / 吴调侯,https://book.douban.com/subject/1014561/,1987-1-1,中华书局,9859人评价,9.0,https://img3.doubanio.com/lpic/s1325863.jpg,古文观止
